City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Egvekinot,RU,2022-05-15 21:07:43,66.3167,-179.1667,29.01,87,100,1.59
168,Belmonte,BR,2022-05-15 21:07:44,-15.8631,-38.8828,75.65,80,100,5.97
169,Angoche,MZ,2022-05-15 21:07:44,-16.2325,39.9086,72.52,77,0,5.1
170,Panaba,MX,2022-05-15 21:07:45,21.2833,-88.2667,88.45,35,0,15.79
171,Pran Buri,TH,2022-05-15 21:07:45,12.3847,99.9098,85.98,72,90,5.91
172,Berezovyy,RU,2022-05-15 21:07:46,51.6667,135.7,39.27,81,100,3.78
173,Chara,RU,2022-05-15 21:07:46,56.9064,118.2631,38.21,87,100,7.09
174,Alexandria,EG,2022-05-15 21:06:19,31.2156,29.9553,66.81,79,0,6.96
175,Poum,NC,2022-05-15 21:00:16,-20.2333,164.0167,76.8,71,34,14.99
176,Zdvinsk,RU,2022-05-15 21:07:46,54.7021,78.661,56.03,53,50,7.18
177,Kanigoro,ID,2022-05-15 21:07:47,-8.13,112.219,73.08,95,22,3.67
178,Rincon,US,2022-05-15 21:07:47,32.296,-81.2354,82.85,83,75,12.66
179,Ferrol,ES,2022-05-15 21:07:48,43.4832,-8.2369,65.35,77,100,15.19
180,Pokhara,NP,2022-05-15 21:03:02,28.2333,83.9833,73.51,55,0,6.62
181,Oktyabrskiy,RU,2022-05-15 21:07:48,54.4815,53.471,49.42,92,100,3.78
182,Agutaya,PH,2022-05-15 21:08:49,11.148,120.9417,82.13,74,100,6.13
183,Airai,TL,2022-05-15 21:08:49,-8.9266,125.4092,58.91,93,21,1.54
184,Anloga,GH,2022-05-15 21:08:50,5.7947,0.8973,82.54,81,54,10.71
185,De Aar,ZA,2022-05-15 21:08:51,-30.6497,24.0123,55.63,28,0,5.37
186,Arrecife,ES,2022-05-15 21:08:51,28.963,-13.5477,69.78,68,20,11.5
187,Lavrentiya,RU,2022-05-15 21:08:52,65.5833,-171.0,32.23,79,42,11.83
188,Lethem,GY,2022-05-15 21:08:53,3.3803,-59.7968,87.03,59,88,3.74
189,Hasaki,JP,2022-05-15 21:08:53,35.7333,140.8333,57.6,78,100,14.16
190,Heihe,CN,2022-05-15 21:08:54,50.2441,127.4902,39.78,39,23,13.24
191,Goderich,CA,2022-05-15 21:08:55,43.7501,-81.7165,56.91,81,100,4.16
192,Itarema,BR,2022-05-15 21:08:56,-2.9248,-39.9167,79.23,85,86,11.16
193,Kutum,SD,2022-05-15 21:08:56,14.2,24.6667,74.12,50,90,18.25
194,Timra,SE,2022-05-15 21:08:57,62.487,17.3257,44.28,49,0,17.27
195,Kruisfontein,ZA,2022-05-15 21:08:57,-34.0033,24.7314,55.54,76,0,4.61
196,Chino Valley,US,2022-05-15 21:08:58,34.7575,-112.4538,95.74,12,0,16.11
197,Bajah,YE,2022-05-15 21:08:59,13.8141,44.6301,78.89,34,0,3.15
198,Vila,PT,2022-05-15 21:08:59,42.0304,-8.1588,52.68,96,38,6.46
199,Bengkulu,ID,2022-05-15 21:09:00,-3.8004,102.2655,75.96,90,94,2.19
200,Laguna,US,2022-05-15 21:09:00,38.421,-121.4238,93.76,36,0,11.5
201,Yinchuan,CN,2022-05-15 21:08:19,38.4681,106.2731,57.43,9,0,7.61
202,Paracuru,BR,2022-05-15 21:09:01,-3.41,-39.0306,82.11,87,100,9.13
203,Mahajanga,MG,2022-05-15 21:09:01,-15.7167,46.3167,73.42,83,20,3.44
204,Abu Samrah,SY,2022-05-15 21:09:02,35.3029,37.1841,62.65,65,0,14.12
205,Bandarbeyla,SO,2022-05-15 21:09:02,9.4942,50.8122,81.72,85,26,20.89
206,Bethel,US,2022-05-15 21:09:03,41.3712,-73.414,80.02,67,75,8.05
207,Sur,OM,2022-05-15 21:09:05,22.5667,59.5289,84.27,53,0,7.87
208,Petropavlovsk-Kamchatskiy,RU,2022-05-15 21:09:05,53.0452,158.6483,36.19,100,100,13.42
209,Sobolevo,RU,2022-05-15 21:09:06,54.4299,31.8996,41.76,84,13,9.46
210,Lebu,CL,2022-05-15 21:09:07,-37.6167,-73.65,56.8,58,100,4.09
211,Tuatapere,NZ,2022-05-15 21:09:07,-46.1333,167.6833,45.61,77,5,4.09
212,Seoul,KR,2022-05-15 21:05:28,37.5683,126.9778,49.44,59,0,3.69
213,Totness,SR,2022-05-15 21:09:08,5.8833,-56.3167,79.52,89,100,10.76
214,Rawson,AR,2022-05-15 21:09:08,-43.3002,-65.1023,51.24,70,31,16.58
215,Surt,LY,2022-05-15 21:09:09,31.2089,16.5887,70.68,43,0,13.22
216,Trenggalek,ID,2022-05-15 21:09:09,-8.05,111.7167,76.01,94,41,2.3
217,Luanda,AO,2022-05-15 21:09:10,-8.8368,13.2343,76.17,87,7,8.41
218,Lovington,US,2022-05-15 21:09:10,32.944,-103.3485,99.32,5,0,3.0
219,Moree,AU,2022-05-15 21:04:15,-29.4667,149.85,66.22,94,100,5.75
220,Harper,LR,2022-05-15 21:09:11,4.375,-7.7169,79.39,87,100,7.09
221,Fare,PF,2022-05-15 21:09:12,-16.7,-151.0167,79.95,70,31,4.36
222,Oudtshoorn,ZA,2022-05-15 21:09:12,-33.5907,22.2014,59.85,42,0,3.69
223,Roma,US,2022-05-15 21:07:52,43.2128,-75.4557,78.94,55,40,5.75
224,Bani Walid,LY,2022-05-15 21:09:13,31.7566,13.9942,74.32,23,6,7.38
225,Belyy Yar,RU,2022-05-15 21:09:13,53.6039,91.3903,62.49,48,0,4.47
226,Sitka,US,2022-05-15 21:08:40,57.0531,-135.33,55.29,44,75,11.5
227,Otjimbingwe,NA,2022-05-15 21:10:14,-22.35,16.1333,70.79,22,0,8.48
228,Abha,SA,2022-05-15 21:10:14,18.2164,42.5053,66.45,5,0,9.22
229,Toul,FR,2022-05-15 21:10:15,48.6667,5.9167,68.92,60,0,6.91
230,Katherine,AU,2022-05-15 21:00:29,-14.4667,132.2667,64.72,63,0,3.44
231,Komsomolskiy,UZ,2022-05-15 21:10:15,40.4272,71.7189,65.32,53,34,1.95
232,Cayenne,GF,2022-05-15 21:10:16,4.9333,-52.3333,80.1,1,75,3.44
233,Chokurdakh,RU,2022-05-15 21:10:16,70.6333,147.9167,16.86,89,99,8.32
234,Brae,GB,2022-05-15 21:10:17,60.3964,-1.353,49.84,89,94,7.02
235,Ancud,CL,2022-05-15 21:10:17,-41.8697,-73.8203,50.74,71,100,8.72
236,Taltal,CL,2022-05-15 21:10:19,-25.4,-70.4833,62.22,75,78,5.95
237,Burnie,AU,2022-05-15 21:10:19,-41.0667,145.9167,48.92,85,85,19.44
238,Katsuura,JP,2022-05-15 21:10:19,35.1333,140.3,61.07,94,100,5.7
239,Aklavik,CA,2022-05-15 21:10:20,68.2191,-135.0107,31.82,98,100,6.69
240,Dubbo,AU,2022-05-15 21:10:20,-32.25,148.6167,48.33,92,100,4.61
241,Pisco,PE,2022-05-15 21:10:21,-13.7,-76.2167,64.45,82,8,9.22
242,Nalut,LY,2022-05-15 21:10:21,30.3333,10.85,77.59,15,5,7.94
243,Ulu-Telyak,RU,2022-05-15 21:10:22,54.9086,56.9669,46.58,95,98,4.27
244,Manhattan,US,2022-05-15 21:10:22,40.7834,-73.9662,82.62,70,0,17.0
245,Krasnoyarka,RU,2022-05-15 21:10:23,55.3333,73.1167,57.15,54,100,6.91
246,Sorland,NO,2022-05-15 21:10:23,67.667,12.6934,40.86,71,100,20.02
247,Dvinskoy,RU,2022-05-15 21:10:23,62.1535,45.1175,44.46,97,98,2.89
248,Darnah,LY,2022-05-15 21:10:24,32.767,22.6367,66.15,73,0,13.02
249,Antofagasta,CL,2022-05-15 21:08:59,-23.65,-70.4,61.88,73,91,7.11
250,Aldama,MX,2022-05-15 21:10:24,22.9167,-98.0667,87.8,39,0,13.56
251,Norman Wells,CA,2022-05-15 21:10:25,65.282,-126.8329,55.96,51,100,16.13
252,Middelburg,ZA,2022-05-15 21:10:25,-25.7751,29.4648,52.72,85,0,6.6
253,Taboga,IT,2022-05-15 21:10:26,46.2663,13.1092,68.9,73,98,3.09
254,Ahipara,NZ,2022-05-15 21:10:26,-35.1667,173.1667,65.98,85,89,12.33
255,Saint-Georges,GD,2022-05-15 21:08:58,12.0564,-61.7485,81.39,77,40,15.26
256,Ponta Do Sol,PT,2022-05-15 21:10:27,32.6667,-17.1,69.01,81,5,4.16
257,Mahibadhoo,MV,2022-05-15 21:10:27,3.7833,72.9667,83.46,76,100,19.28
258,Saint-Joseph,RE,2022-05-15 21:10:28,-21.3667,55.6167,71.98,79,26,10.96
259,Tombouctou,ML,2022-05-15 21:10:28,20.0,-3.0,88.5,9,0,7.43
260,San Cristobal,VE,2022-05-15 21:10:31,7.7669,-72.225,80.78,61,100,5.44
261,Mujiayingzi,CN,2022-05-15 21:10:31,42.1167,118.7833,48.38,48,58,6.69
262,Atambua,ID,2022-05-15 21:10:32,-9.1061,124.8925,72.27,90,42,3.18
263,Rio Grande,BR,2022-05-15 21:10:32,-32.035,-52.0986,57.31,64,100,14.63
264,Sydney,AU,2022-05-15 21:05:44,-33.8679,151.2073,58.3,80,0,8.05
265,Meadow Lake,US,2022-05-15 21:10:33,34.8014,-106.5436,93.22,6,0,11.25
266,Port Macquarie,AU,2022-05-15 21:10:33,-31.4333,152.9167,66.88,89,89,7.31
267,Hamilton,US,2022-05-15 21:10:34,39.1834,-84.5333,87.62,36,0,6.91
268,Soyo,AO,2022-05-15 21:10:34,-6.1349,12.3689,77.94,87,81,6.69
269,Port Hardy,CA,2022-05-15 21:10:35,50.6996,-127.4199,48.49,93,100,11.14
270,Verkhoyansk,RU,2022-05-15 21:10:35,67.5447,133.385,23.25,85,100,5.3
271,Warmbad,NA,2022-05-15 21:11:36,-28.45,18.7333,64.04,17,0,12.71
272,Redlands,US,2022-05-15 21:08:30,34.0556,-117.1825,94.55,17,75,1.01
273,Saint George,US,2022-05-15 21:08:26,37.1041,-113.5841,97.43,6,0,5.99
274,Portland,US,2022-05-15 21:08:26,45.5234,-122.6762,66.87,87,100,3.44
275,Arman,RU,2022-05-15 21:11:36,59.7,150.1667,36.68,94,100,12.35
276,Kuruman,ZA,2022-05-15 21:11:37,-27.4524,23.4325,59.45,37,0,6.4
277,Chuy,UY,2022-05-15 21:11:37,-33.6971,-53.4616,54.27,58,17,7.05
278,Kaihua,CN,2022-05-15 21:11:38,23.3687,104.28,53.85,85,100,7.29
279,Sindor,RU,2022-05-15 21:11:39,62.8629,51.8905,45.77,93,100,2.04
280,Ponto Novo,BR,2022-05-15 21:11:39,-10.8628,-40.1336,81.59,44,74,5.88
281,Safita,SY,2022-05-15 21:11:39,34.8205,36.1153,61.48,79,9,13.38
282,Newport,GB,2022-05-15 21:11:40,51.5877,-2.9984,59.77,89,100,6.71
283,Meulaboh,ID,2022-05-15 21:11:40,4.1363,96.1285,76.14,87,99,3.65
284,Matara,LK,2022-05-15 21:11:41,5.9485,80.5353,78.87,90,74,12.48
285,Bowen,AU,2022-05-15 21:11:41,-20.0167,148.2333,71.01,84,0,4.88
286,Paris,FR,2022-05-15 21:11:17,48.8534,2.3488,67.14,88,75,8.05
287,Auki,SB,2022-05-15 21:11:42,-8.7676,160.7034,80.28,78,27,1.07
288,Kem,RU,2022-05-15 21:11:42,64.9555,34.5793,38.03,96,100,4.97
289,Tumpat,MY,2022-05-15 21:11:42,6.1978,102.171,79.16,86,92,3.58
290,Blyth,GB,2022-05-15 21:11:43,55.1271,-1.5086,53.08,90,75,8.05
291,Zelenoborskiy,RU,2022-05-15 21:11:43,66.845,32.3622,40.6,76,99,1.97
292,Oistins,BB,2022-05-15 21:11:44,13.0667,-59.5333,82.49,83,75,18.41
293,Vila Velha,BR,2022-05-15 21:11:44,-20.3297,-40.2925,76.95,69,0,9.22
294,Varnsdorf,CZ,2022-05-15 21:11:44,50.9115,14.6182,55.15,83,3,2.75
295,Izumo,JP,2022-05-15 21:11:45,35.3667,132.7667,55.96,82,100,2.01
